Precinct,Location,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,Raymond Dehn,Tom Hoch
Hennepin: MINNEAPOLIS W-7 P-10,"44.963718, -93.282963",58,65,35,74,56
Hennepin: MINNEAPOLIS W-8 P-01,"44.946581, -93.281324",60,45,180,64,45
Hennepin: MINNEAPOLIS W-8 P-02,"44.941336, -93.281356",229,203,248,277,169
Hennepin: MINNEAPOLIS W-8 P-03,"44.934111, -93.268273",155,61,82,162,44
Hennepin: MINNEAPOLIS W-8 P-04,"44.926933, -93.268219",173,125,143,125,105
Hennepin: MINNEAPOLIS W-8 P-05,"44.917916, -93.268348",217,244,237,154,230
Hennepin: MINNEAPOLIS W-8 P-06,"44.934105, -93.281386",226,218,338,287,158
Hennepin: MINNEAPOLIS W-8 P-07,"44.925043, -93.281815",203,362,358,328,321
Hennepin: MINNEAPOLIS W-8 P-08,"44.927852, -93.254911",280,229,293,309,180
Hennepin: MINNEAPOLIS W-9 P-01,"44.940435, -93.268934",105,87,75,172,34
Hennepin: MINNEAPOLIS W-9 P-02,"44.940900, -93.255181",333,126,239,471,110
Hennepin: MINNEAPOLIS W-9 P-03,"44.953997, -93.256866",116,156,145,105,67
Hennepin: MINNEAPOLIS W-9 P-04,"44.953730, -93.247359",77,86,93,132,41
Hennepin: MINNEAPOLIS W-9 P-05,"44.946522, -93.251211",66,34,43,81,23
Hennepin: MINNEAPOLIS W-9 P-06,"44.942929, -93.240573",225,184,220,278,139
Hennepin: MINNEAPOLIS W-9 P-07,"44.935942, -93.254903",159,75,130,179,88
Hennepin: MINNEAPOLIS W-9 P-08,"44.948330, -93.235922",16,22,6,16,9
Hennepin: MINNEAPOLIS W-9 P-09,"44.945818, -93.268343",105,60,74,133,52
Hennepin: MINNEAPOLIS W-10 P-01,"44.959107, -93.290547",162,138,160,235,197
Hennepin: MINNEAPOLIS W-10 P-02,"44.951892, -93.293196",161,232,168,222,176
Hennepin: MINNEAPOLIS W-10 P-03A,"44.943008, -93.300855",90,229,157,99,211
Hennepin: MINNEAPOLIS W-10 P-03B,,0,0,0,0,0
Hennepin: MINNEAPOLIS W-10 P-04,"44.945567, -93.293203",119,162,154,161,125
Hennepin: MINNEAPOLIS W-10 P-05A,"44.931378, -93.294991",79,183,202,98,172
Hennepin: MINNEAPOLIS W-10 P-05B,,0,0,0,0,0
Hennepin: MINNEAPOLIS W-10 P-06,"44.940433, -93.293238",146,188,218,192,202
Hennepin: MINNEAPOLIS W-10 P-07,"44.960882, -93.282944",153,96,105,219,55
Hennepin: MINNEAPOLIS W-10 P-08,"44.957364, -93.282951",103,96,79,168,87
Hennepin: MINNEAPOLIS W-10 P-09,"44.956602, -93.274031",169,111,115,250,105
Hennepin: MINNEAPOLIS W-10 P-10,"44.951939, -93.282993",118,90,119,166,97
Hennepin: MINNEAPOLIS W-11 P-01,"44.915986, -93.281845",132,239,201,121,221
Hennepin: MINNEAPOLIS W-11 P-02,"44.907851, -93.281601",94,319,247,108,318
Hennepin: MINNEAPOLIS W-11 P-03,"44.895703, -93.283178",105,184,137,94,167
Hennepin: MINNEAPOLIS W-11 P-04,"44.918582, -93.254945",212,402,278,222,348
Hennepin: MINNEAPOLIS W-11 P-05,"44.908140, -93.268516",85,237,154,88,187
Hennepin: MINNEAPOLIS W-11 P-06,"44.908874, -93.254347",117,406,240,186,270
Hennepin: MINNEAPOLIS W-11 P-07,"44.896777, -93.257309",120,341,219,110,260
Hennepin: MINNEAPOLIS W-11 P-08,"44.905349, -93.238150",111,263,171,102,201
Hennepin: MINNEAPOLIS W-11 P-09,"44.901735, -93.227239",63,108,65,54,69
Hennepin: MINNEAPOLIS W-11 P-10,"44.897037, -93.268447",68,217,139,109,183
Hennepin: MINNEAPOLIS W-12 P-01,"44.937784, -93.222297",221,273,267,267,200
Hennepin: MINNEAPOLIS W-12 P-02,"44.934287, -93.210179",174,259,208,220,229
Hennepin: MINNEAPOLIS W-12 P-03,"44.927023, -93.212705",208,314,274,199,268
Hennepin: MINNEAPOLIS W-12 P-04,"44.920684, -93.212744",124,138,128,119,113
Hennepin: MINNEAPOLIS W-12 P-05,"44.919672, -93.230905",134,241,198,149,179
Hennepin: MINNEAPOLIS W-12 P-06,"44.912641, -93.216469",106,197,144,105,125
Hennepin: MINNEAPOLIS W-12 P-07,"44.913669, -93.205102",1,4,14,3,3
Hennepin: MINNEAPOLIS W-12 P-08,"44.932059, -93.244773",125,118,91,147,81
Hennepin: MINNEAPOLIS W-12 P-09,"44.926905, -93.228356",141,191,155,142,125
Hennepin: MINNEAPOLIS W-12 P-10,"44.899949, -93.215298",116,207,123,101,127
Hennepin: MINNEAPOLIS W-12 P-11,"44.907204, -93.212621",100,169,123,108,104
Hennepin: MINNEAPOLIS W-12 P-12,"44.931389, -93.237257",210,274,238,259,193
Hennepin: MINNEAPOLIS W-12 P-13,"44.910750, -93.227117",60,156,97,91,128
Hennepin: MINNEAPOLIS W-13 P-01,"44.940096, -93.320048",72,211,121,70,184
Hennepin: MINNEAPOLIS W-13 P-02,"44.928695, -93.313106",46,188,163,56,162
Hennepin: MINNEAPOLIS W-13 P-03,"44.927978, -93.323921",85,295,173,79,209
Hennepin: MINNEAPOLIS W-13 P-04,"44.921526, -93.320170",95,263,179,73,173
Hennepin: MINNEAPOLIS W-13 P-05,"44.916889, -93.320175",67,289,167,82,220
Hennepin: MINNEAPOLIS W-13 P-06,"44.914142, -93.292780",94,394,183,92,377
Hennepin: MINNEAPOLIS W-13 P-07,"44.903250, -93.295895",138,516,248,120,387
Hennepin: MINNEAPOLIS W-13 P-08,"44.901554, -93.310270",110,347,163,83,276
Hennepin: MINNEAPOLIS W-13 P-09,"44.894317, -93.304761",127,380,163,116,355
Hennepin: MINNEAPOLIS W-13 P-10,"44.922473, -93.296627",64,183,112,69,153
Hennepin: MINNEAPOLIS W-13 P-11,"44.910665, -93.325168",73,343,140,64,240
Hennepin: MINNEAPOLIS W-13 P-12,"44.908817, -93.317409",85,204,108,46,128
Hennepin: MINNEAPOLIS W-13 P-13,"44.910540, -93.304887",68,320,195,81,261
